year,text,country,url
2019,Best Hospitals - Top 100 Global,,https://www.newsweek.com/best-hospitals-2019
2019,Best Hospitals - Australia,Australia,https://www.newsweek.com/best-hospitals-2019/australia
2019,Best Hospitals - USA,USA,https://www.newsweek.com/best-hospitals-2019/united-states
2019,Best Hospitals - Canada,Canada,https://www.newsweek.com/best-hospitals-2019/canada
2019,Best Hospitals - Germany,Germany,https://www.newsweek.com/best-hospitals-2019/germany
2019,Best Hospitals - France,France,https://www.newsweek.com/best-hospitals-2019/france
2019,Best Hospitals - United Kingdom,United Kingdom,https://www.newsweek.com/best-hospitals-2019/united-kingdom
2019,Best Hospitals - Switzerland,Switzerland,https://www.newsweek.com/best-hospitals-2019/switzerland
2019,Best Hospitals - Singapore,Singapore,https://www.newsweek.com/best-hospitals-2019/singapore
2019,Best Hospitals - Israel,Israel,https://www.newsweek.com/best-hospitals-2019/israel
2019,Best Hospitals - South Korea,South Korea,https://www.newsweek.com/best-hospitals-2019/south-korea
2019,Best Hospitals - Japan,Japan,https://www.newsweek.com/best-hospitals-2019/japan
2019,Best Hospitals – Top Specialized,,https://www.newsweek.com/best-hospitals-2019/top-specialized
2020,World's Best Hospitals 2020 - Top 100 Global,,https://www.newsweek.com/best-hospitals-2020
2020,Best Hospitals – Australia,Australia,https://www.newsweek.com/best-hospitals-2020/australia
2020,Best Hospitals – Brazil,Brazil,https://www.newsweek.com/best-hospitals-2020/brazil
2020,Best Hospitals – Canada,Canada,https://www.newsweek.com/best-hospitals-2020/canada
2020,Best Hospitals – Denmark,Denmark,https://www.newsweek.com/best-hospitals-2020/denmark
2020,Best Hospitals – Finland,Finland,https://www.newsweek.com/best-hospitals-2020/finland
2020,Best Hospitals - France,France,https://www.newsweek.com/best-hospitals-2020/france
2020,Best Hospitals – Germany,Germany,https://www.newsweek.com/best-hospitals-2020/germany
2020,Best Hospitals – India,India,https://www.newsweek.com/best-hospitals-2020/india
2020,Best Hospitals – Israel,Israel,https://www.newsweek.com/best-hospitals-2020/israel
2020,Best Hospitals – Italy,Italy,https://www.newsweek.com/best-hospitals-2020/italy
2020,Best Hospitals - Japan,Japan,https://www.newsweek.com/best-hospitals-2020/japan
2020,Best Hospitals – Netherlands,Netherlands,https://www.newsweek.com/best-hospitals-2020/netherlands
2020,Best Hospitals – Norway,Norway,https://www.newsweek.com/best-hospitals-2020/norway
2020,Best Hospitals – Singapore,Singapore,https://www.newsweek.com/best-hospitals-2020/singapore
2020,Best Hospitals - South Korea,South Korea,https://www.newsweek.com/best-hospitals-2020/south-korea
2020,Best Hospitals – Spain,Spain,https://www.newsweek.com/best-hospitals-2020/spain
2020,Best Hospitals – Sweden,Sweden,https://www.newsweek.com/best-hospitals-2020/sweden
2020,Best Hospitals - Switzerland,Switzerland,https://www.newsweek.com/best-hospitals-2020/switzerland
2020,Best Hospitals – Thailand,Thailand,https://www.newsweek.com/best-hospitals-2020/thailand
2020,Best Hospitals – Top Specialized,,https://www.newsweek.com/best-hospitals-2020/top-specialized
2020,Best Hospitals - United Kingdom,United Kingdom,https://www.newsweek.com/best-hospitals-2020/united-kingdom
2020,Best Hospitals - USA,USA,https://www.newsweek.com/best-hospitals-2020/united-states
2021,World's Best Hospitals 2021 - Top 200 Global,,https://www.newsweek.com/best-hospitals-2021
2021,Best Hospitals 2021 - United States,USA,https://www.newsweek.com/best-hospitals-2021/united-states
2021,Best Hospitals 2021 - Australia,Australia,https://www.newsweek.com/best-hospitals-2021/australia
2021,Best Hospitals 2021 - Austria,Austria,https://www.newsweek.com/best-hospitals-2021/austria
2021,Best Hospitals 2021 - Belgium,Belgium,https://www.newsweek.com/best-hospitals-2021/belgium
2021,Best Hospitals 2021 - Brazil,Brazil,https://www.newsweek.com/best-hospitals-2021/brazil
2021,Best Hospitals 2021 - Canada,Canada,https://www.newsweek.com/best-hospitals-2021/canada
2021,Best Hospitals 2021 - Denmark,Denmark,https://www.newsweek.com/best-hospitals-2021/denmark
2021,Best Hospitals 2021 - Finland,Finland,https://www.newsweek.com/best-hospitals-2021/finland
2021,Best Hospitals 2021 - France,France,https://www.newsweek.com/best-hospitals-2021/france
2021,Best Hospitals 2021 - Germany,Germany,https://www.newsweek.com/best-hospitals-2021/germany
2021,Best Hospitals 2021 - India,India,https://www.newsweek.com/best-hospitals-2021/india
2021,Best Hospitals 2021 - Israel,Israel,https://www.newsweek.com/best-hospitals-2021/israel
2021,Best Hospitals 2021 - Italy,Italy,https://www.newsweek.com/best-hospitals-2021/italy
2021,Best Hospitals 2021 - Japan,Japan,https://www.newsweek.com/best-hospitals-2021/japan
2021,Best Hospitals 2021 - Mexico,Mexico,https://www.newsweek.com/best-hospitals-2021/mexico
2021,Best Hospitals 2021 - Norway,Norway,https://www.newsweek.com/best-hospitals-2021/norway
2021,Best Hospitals 2021 - Poland,Poland,https://www.newsweek.com/best-hospitals-2021/poland
2021,Best Hospitals 2021 - Singapore,Singapore,https://www.newsweek.com/best-hospitals-2021/singapore
2021,Best Hospitals 2021 - South Korea,South Korea,https://www.newsweek.com/best-hospitals-2021/south-korea
2021,Best Hospitals 2021 - Spain,Spain,https://www.newsweek.com/best-hospitals-2021/spain
2021,Best Hospitals 2021 - Sweden,Sweden,https://www.newsweek.com/best-hospitals-2021/sweden
2021,Best Hospitals 2021 - Switzerland,Switzerland,https://www.newsweek.com/best-hospitals-2021/switzerland
2021,Best Hospitals 2021 - Thailand,Thailand,https://www.newsweek.com/best-hospitals-2021/thailand
2021,Best Hospitals 2021 - The Netherlands,The Netherlands,https://www.newsweek.com/best-hospitals-2021/the-netherlands
2021,Best Hospitals 2021 - United Kingdom,United Kingdom,https://www.newsweek.com/best-hospitals-2021/united-kingdom
2021,Best Hospitals 2021 - Top Specialized,,https://www.newsweek.com/best-hospitals-2021/top-specialized
