Country,Countryrank,Hospital,Score,City,Year
USA,1,Mayo Clinic - Rochester,98.43,Rochester,2021
USA,2,Cleveland Clinic,92.36,Cleveland,2021
USA,3,Massachusetts General Hospital,89.05,Boston,2021
USA,4,The Johns Hopkins Hospital,84.59,Baltimore,2021
USA,5,Stanford Health Care - Stanford Hospital,79.92,Stanford,2021
USA,6,Ronald Reagan UCLA Medical Center,79.78,Los Angeles,2021
USA,7,The Mount Sinai Hospital,79.75,New York,2021
USA,8,University of Michigan Hospitals - Michigan Medicine,79.63,Ann Arbor,2021
USA,9,Brigham And Women's Hospital,79.34,Boston,2021
USA,10,New York-Presbyterian Hospital-Columbia and Cornell,78.81,New York,2021
USA,11,Duke University Hospital,78.62,Durham,2021
USA,12,Mayo Clinic - Phoenix,78.26,Phoenix,2021
USA,13,Cedars-Sinai Medical Center,78.18,Los Angeles,2021
USA,14,UCLA Medical Center - Santa Monica,78.12,Santa Monica,2021
USA,15,Northwestern Memorial Hospital,78.03,Chicago,2021
USA,16,Hospital of the University of Pennsylvania - Penn Presbyterian,77.94,Philadelphia,2021
USA,17,UCSF Medical Center,77.56,San Francisco,2021
USA,18,Houston Methodist Hospital,77.04,Houston,2021
USA,19,Rush University Medical Center,77.03,Chicago,2021
USA,20,Mayo Clinic - Jacksonville,76.29,Jacksonville,2021
USA,21,NYU Langone Hospitals,75.99,New York,2021
USA,22,University of Washington Medical Center,75.63,Seattle,2021
USA,23,UCHealth University of Colorado Hospital,74.9,Aurora,2021
USA,24,Vanderbilt University Medical Center,74.58,Nashville,2021
USA,25,Barnes-Jewish Hospital,73.99,Saint Louis,2021
USA,26,University of Chicago Medical Center,73.46,Chicago,2021
USA,27,University of California - Davis Medical Center,73.32,Sacramento,2021
USA,28,University of Wisconsin Hospitals,73.3,Madison,2021
USA,29,Scripps Memorial Hospital La Jolla,73.23,La Jolla,2021
USA,30,Emory University Hospital,73.23,Atlanta,2021
USA,31,Beth Israel Deaconess Medical Center,73.17,Boston,2021
USA,32,University Hospitals Cleveland Medical Center,73.08,Cleveland,2021
USA,33,Yale New Haven Hospital,72.97,New Haven,2021
USA,34,Morristown Medical Center,72.9,Morristown,2021
USA,35,UC San Diego Health - Jacobs Medical Center,72.86,San Diego,2021
USA,36,OHSU Hospital,72.82,Portland,2021
USA,37,Baylor St. Luke's Medical Center,72.78,Houston,2021
USA,38,Mercy Hospital St. Louis,72.61,Saint Louis,2021
USA,39,Keck Hospital of USC,72.59,Los Angeles,2021
USA,40,Torrance Memorial Medical Center,72.24,Torrance,2021
USA,41,Cleveland Clinic Fairview Hospital,71.96,Cleveland,2021
USA,42,University of Kansas Hospital,71.93,Kansas City,2021
USA,43,Hackensack University Medical Center,71.48,Hackensack,2021
USA,44,UT Southwestern Medical Center,71.34,Dallas,2021
USA,45,CentraCare - St. Cloud Hospital,71.33,Saint Cloud,2021
USA,46,UAB Hospital,71.25,Birmingham,2021
USA,47,Baylor University Medical Center,71.24,Dallas,2021
USA,48,Virginia Mason Medical Center,71.11,Seattle,2021
USA,49,Nebraska Medicine - Nebraska Medical Center,70.82,Omaha,2021
USA,50,Tufts Medical Center,70.58,Boston,2021
USA,51,University of Virginia Medical Center,70.47,Charlottesville,2021
USA,52,University of Utah Hospital,70.29,Salt Lake City,2021
USA,53,Memorial Hermann-Texas Medical Center,69.71,Houston,2021
USA,54,Medical City Dallas Hospital,69.65,Dallas,2021
USA,55,UPMC Presbyterian & Shadyside,69.56,Pittsburgh,2021
USA,56,Loyola University Medical Center,69.55,Maywood,2021
USA,57,Cleveland Clinic - Florida,69.53,Weston,2021
USA,58,St. Luke's Regional Medical Center,69.45,Boise,2021
USA,59,Providence St. Vincent Medical Center,69.44,Portland,2021
USA,60,Brigham And Women's Faulkner Hospital,69.41,Boston,2021
USA,61,Advocate Good Samaritan Hospital,69.4,Downers Grove,2021
USA,62,Aurora St. Luke's Medical Center,69.37,Milwaukee,2021
USA,63,Miami Valley Hospital,69.36,Dayton,2021
USA,64,St. Luke's Hospital of Kansas City,69.34,Kansas City,2021
USA,65,Inova Fairfax Hospital,69.33,Falls Church,2021
